STRTNO,SIZE,year,yng,DEPLY,size2,surv
21,0,5,8,1,0,0
21,0,6,10,1,0,0
21,0,7,9,1,0,0
21,0,8,11,1,0,0
22,11.1,1,20,1,123.21,1
22,11.1,2,0,1,123.21,1
22,11.1,3,0,1,123.21,1
22,11.1,4,8,1,123.21,0
22,11.1,5,11,1,123.21,1
22,11.1,6,9,1,123.21,0
22,11.1,7,8,1,123.21,0
22,11.1,8,0,1,123.21,0
23,0.38,1,10,0,0.1444,0
23,0.38,2,0,0,0.1444,0
23,0.38,3,0,0,0.1444,0
23,0.38,4,0,0,0.1444,0
23,0.38,5,0,0,0.1444,0
23,0.38,6,0,0,0.1444,0
23,0.38,7,0,0,0.1444,0
23,0.38,8,0,0,0.1444,0
24,5.05,1,8,1,25.5025,0
24,5.05,2,8,1,25.5025,0
24,5.05,3,11,1,25.5025,0
24,5.05,4,12,1,25.5025,0
24,5.05,5,12,1,25.5025,0
24,5.05,6,20,1,25.5025,0
24,5.05,7,22,1,25.5025,0
24,5.05,8,0,1,25.5025,1
25,0.18,1,0,0,0.0324,0
25,0.18,2,0,0,0.0324,0
25,0.18,3,0,0,0.0324,0
25,0.18,4,0,0,0.0324,1
25,0.18,5,0,0,0.0324,0
25,0.18,6,11,0,0.0324,0
25,0.18,7,12,0,0.0324,0
25,0.18,8,0,0,0.0324,0
26,0,1,0,1,0,0
26,0,2,0,1,0,0
26,0,3,0,1,0,0
26,0,4,0,1,0,0
26,0,5,0,1,0,0
26,0,6,0,1,0,0
26,0,7,0,1,0,0
26,0,8,9,1,0,0
27,1.39,1,0,0,1.9321,0
27,1.39,2,0,0,1.9321,1
27,1.39,3,0,0,1.9321,0
27,1.39,4,0,0,1.9321,0
27,1.39,5,0,0,1.9321,0
27,1.39,6,0,0,1.9321,1
27,1.39,7,0,0,1.9321,0
27,1.39,8,0,0,1.9321,0
28,0.93,1,10,1,0.8649,0
28,0.93,2,9,1,0.8649,0
28,0.93,3,11,1,0.8649,0
28,0.93,4,10,1,0.8649,0
28,0.93,5,0,1,0.8649,0
28,0.93,6,0,1,0.8649,0
28,0.93,7,0,1,0.8649,0
28,0.93,8,0,1,0.8649,0
29,0.45,1,0,0,0.2025,0
29,0.45,2,0,0,0.2025,0
29,0.45,3,0,0,0.2025,0
29,0.45,4,0,0,0.2025,0
29,0.45,5,0,0,0.2025,0
29,0.45,6,0,0,0.2025,0
29,0.45,7,0,0,0.2025,0
29,0.45,8,0,0,0.2025,0
30,26.41,1,19,1,697.4881,0
30,26.41,2,8,1,697.4881,0
30,26.41,3,0,1,697.4881,0
30,26.41,4,9,1,697.4881,1
30,26.41,5,12,1,697.4881,1
30,26.41,6,11,1,697.4881,0
30,26.41,7,21,1,697.4881,0
30,26.41,8,12,1,697.4881,1
31,6.42,1,0,1,41.2164,0
31,6.42,2,8,1,41.2164,0
31,6.42,3,11,1,41.2164,0
31,6.42,4,13,1,41.2164,0
31,6.42,5,11,1,41.2164,1
31,6.42,6,11,1,41.2164,1
31,6.42,7,11,1,41.2164,0
31,6.42,8,10,1,41.2164,0
32,3.48,1,6,0,12.1104,0
32,3.48,2,7,0,12.1104,0
32,3.48,3,0,0,12.1104,1
32,3.48,4,0,0,12.1104,1
32,3.48,5,0,0,12.1104,0
32,3.48,6,11,0,12.1104,1
32,3.48,7,0,0,12.1104,0
32,3.48,8,8,0,12.1104,0
33,3.48,1,0,1,12.1104,0
33,3.48,2,0,1,12.1104,0
33,3.48,3,0,1,12.1104,1
33,3.48,4,0,1,12.1104,1
33,3.48,5,0,1,12.1104,0
33,3.48,6,0,1,12.1104,1
33,3.48,7,0,1,12.1104,0
33,3.48,8,0,1,12.1104,0
35,0.06,1,0,1,0.0036,0
35,0.06,2,0,1,0.0036,0
35,0.06,3,0,1,0.0036,0
35,0.06,4,0,1,0.0036,0
35,0.06,5,0,1,0.0036,0
35,0.06,6,0,1,0.0036,0
35,0.06,7,0,1,0.0036,0
35,0.06,8,0,1,0.0036,1
36,0.68,1,0,0,0.4624,0
36,0.68,2,0,0,0.4624,0
36,0.68,3,0,0,0.4624,0
